current_time;Tw_in;Tw_out_rnn;Tw_out;Tw_out_sp;omegab_opt;Theater1;Theater2;Theater_opt;pc_rnn;pc;Hpev;Hpev_opt;SH;SH_sp;Lpev;Lpev_opt;COP;Pgc;Prec;Pcomb;omega1;omega2;omega3;k_step;T_outdoor
426;305.8274566679459;311.51236;311.5097049780326;311.4546705472243;5935.727746904144;978.4469717675563;978.4505706480012;978.4505706480012;70.0;81.4517467613718;57.83357917969772;57.83357917969772;4.415453115104512;5;18.728319551685033;18.728319551685033;1.6107433910626323;1333.0306093119955;4137.724418673235;3396.41625;184.0;125.16780182459412;136.0;0;6
427;305.82784895879837;311.5099;311.51667114799915;311.4546705472243;5757.18033703588;978.5531276316785;978.5575578784409;978.5575578784409;70.0;81.71083804851335;57.42780051187796;57.42780051187796;4.362724348415384;5;18.654046233188744;18.654046233188744;1.6126068844826407;1341.1283354156299;4135.955891903085;3396.41625;184.0;125.19237208295276;136.0;0;6
428;305.8282373267423;311.51144;311.53790293961856;311.4546705472243;5606.266080030351;978.6394138093515;978.6454399733594;978.6454399733594;70.0;81.84226981809049;57.11539150581132;57.11539150581132;4.326737305547411;5;18.57952255516989;18.57952255516989;1.6185153568161716;1348.8801556590581;4148.2717031059365;3396.41625;184.0;125.23475981165515;136.0;0;6
429;305.82862181100677;311.51913;311.5460596872445;311.4546705472243;5457.302802972379;978.7085292925417;978.7168272563125;978.7168272563125;70.0;81.97557472163142;56.84353501146835;56.84353501146835;4.382801975098687;5;18.529015686590014;18.529015686590014;1.620718555472748;1355.6773175523083;4148.957520931859;3396.41625;184.0;125.29455858523336;136.0;0;6
430;305.8290024504286;311.5227;311.55659558297475;311.4546705472243;5321.827918762164;978.7603720641456;978.7716382196812;978.7716382196812;70.0;82.11149967192087;56.628446286827895;56.628446286827895;4.421276837111293;5;18.478838342703664;18.478838342703664;1.6235972596564814;1361.7166366046008;4152.6954795481415;3396.41625;184.0;125.37350647033153;136.0;0;6
431;305.82937928345626;311.5286;311.56669570641634;311.4546705472243;5196.138757453642;978.7962235988206;978.8111044425443;978.8111044425443;70.0;82.23181994983895;56.455765396660986;56.455765396660986;4.455023096070562;5;18.431089904102574;18.431089904102574;1.6263535147370467;1367.2027340995407;4156.570771597979;3396.41625;184.0;125.4718879252979;136.0;0;6
432;305.8297523481536;311.53424;311.57642655126983;311.4546705472243;5077.540014869411;978.8170013887633;978.8361025779848;978.8361025779848;70.0;82.34125953748602;56.3430665979855;56.3430665979855;4.484422123722197;5;18.385411922005122;18.385411922005122;1.6290061588523668;1372.1506709897517;4160.632318286508;3396.41625;184.0;125.5900832793134;136.0;0;6
433;305.830121682204;311.53833;311.5861049469472;311.4546705472243;4965.671555951976;978.8233484872616;978.8472426708834;978.8472426708834;70.0;82.43949827675885;56.25177184089885;56.25177184089885;4.5104512595000585;5;18.341662875110703;18.341662875110703;1.631644992756557;1376.597729022671;4165.147838606832;3396.41625;184.0;125.7285601973741;136.0;0;6
434;305.8304873229138;311.54306;311.59561131686024;311.4546705472243;4859.186922229512;978.8159011104725;978.8451237976318;978.8451237976318;70.0;82.52759665631145;56.187768855770884;56.187768855770884;4.541860476235726;5;18.302130766081408;18.302130766081408;1.634236109573346;1380.5657147491806;4169.980364142513;3396.41625;184.0;125.88763508642018;136.0;0;6
435;305.83084930721657;311.54843;311.6049557619303;311.4546705472243;4753.972943567792;978.7951600263127;978.8302130653539;978.8302130653539;70.0;82.60727901796632;56.11509747047978;56.11509747047978;4.581184518867502;5;18.268114026494516;18.268114026494516;1.6367823621351563;1384.0800490230592;4175.114163446169;3396.41625;184.0;126.06762652997367;136.0;0;6
