current_time;Tw_in;Tw_out;Tw_out_sp;Theater_opt;Theater1;Theater2;omegab_opt;pc_reduced;pc;pc_opt;Hpev;Hpev_opt;SH;SH_sp;Lpev;Lpev_opt;COP;Pgc;Prec;Pcomb;omega1;omega2;omega3;k_step;T_outdoor
1993;306.35819005101985;313.2175834112343;313.0471758061907;943.2;942.1756008683396;950.9966472746587;4962.562288761884;80.06902162226284;80.06902162226284;80.34603937499921;43.0;43;8.925401645815171;3;50;50;1.4495926258054044;2098.8234982572894;4505.26324108998;4555.822526813689;212.0;148.2855423486862;148.0;0;4
1994;306.35819027646454;313.2175836576043;313.0471758061907;943.2;942.1756008683396;950.9966472746587;4962.562288761884;80.06902210098255;80.06902210098255;80.3460397064029;43.0;43;8.930565312323086;3;50;50;1.4495926302275328;2098.8235219700728;4505.263237523628;4555.822526813689;212.0;148.2855423486862;148.0;0;4
1995;306.35819049965477;313.2175839902797;313.0471758061907;943.2;942.1756008683396;950.9966472746587;4962.562288761884;80.06902226551168;80.06902226551168;80.34604003449255;43.0;43;8.942969616807067;3;50;50;1.4495926533650008;2098.8235588422444;4505.2633060616545;4555.822526813689;212.0;148.2855423486862;148.0;0;4
1996;306.3581907206131;313.2175843795643;313.0471758061907;943.2;942.1756008683396;950.9966472746587;4962.562288761884;80.06902238293638;80.06902238293638;80.34604035930128;43.0;43;8.940200060526394;3;50;50;1.4495926889373192;2098.8235968778727;4505.263430087196;4555.822526813689;212.0;148.2855423486862;148.0;0;4
1997;306.35819093936186;313.2175846024189;313.0471758061907;943.2;942.1756008683396;950.9966472746587;4962.562288761884;80.06902305953261;80.06902305953261;80.34604068086196;43.0;43;8.94506774254701;3;50;50;1.4495926898050038;2098.823627416734;4505.2634035013525;4555.822526813689;212.0;148.2855423486862;148.0;0;4
1998;306.3581911559231;313.2175848063454;313.0471758061907;943.2;942.1756008683396;950.9966472746587;4962.562288761884;80.06902341556624;80.06902341556624;80.34604099920702;43.0;43;8.92540021770526;3;50;50;1.4495926871349005;2098.8236719355546;4505.263346818014;4555.822526813689;212.0;148.2855423486862;148.0;0;4
1999;306.35819137031876;313.2175850393692;313.0471758061907;943.2;942.1756008683396;950.9966472746587;4962.562288761884;80.06902386847196;80.06902386847196;80.34604131436862;43.0;43;8.930563896089803;3;50;50;1.449592691071586;2098.8236946010934;4505.263342087315;4555.822526813689;212.0;148.2855423486862;148.0;0;4
2000;306.3624549936352;313.4059488282914;314.5744953293305;1003.0;942.1756008683396;950.9966472746587;9500;80.27526497047877;80.27526497047877;80.35230884064377;43.0;43;8.904192417152492;3;50;50;1.4884984992760681;2096.6390346592966;4684.695959470985;4555.822526813689;240.0;148.2855423486862;160.0;0;2
2001;306.36667598071847;314.0623773223297;314.5744953293305;1003.0;942.9239400474298;951.7968833848973;9500;80.6407660224016;80.6407660224016;80.35851369165619;43.0;43;9.472661268942966;3;50;50;0.739361782135533;2098.57826110009;5310.689076576367;10021.166250000002;240.0;149.28611518122855;160.0;0;2
2002;306.3708547579309;314.07800244033757;314.5744953293305;1003.0;943.6706673846537;952.5927643357591;9500;80.7966219983715;80.7966219983715;80.36465649415844;43.0;43;9.9084378403264;3;50;50;0.7404614852754787;2104.450873855673;5315.836771811828;10021.166250000002;240.0;150.23379685216585;160.0;0;2
